AstroVIEW X
Type, Original
 
Time, 06/15/2018 03:30:09 PM
Compression, 1
*Sample Rate 1, 1
Size, 42
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I1_rms_20ms        , I1_lp_3000Hz       
1, 06/15/2018 03:30:08 PM,648.5333           ,-0.0333            ,0.0000             ,-3.7500            
2, 06/15/2018 03:30:09 PM,648.5000           ,-0.1167            ,0.0000             ,-2.5000            
3, 06/15/2018 03:30:10 PM,648.5333           ,-0.0833            ,0.0000             ,-2.0833            
4, 06/15/2018 03:30:11 PM,648.5000           ,-0.0500            ,0.0000             ,-3.3333            
5, 06/15/2018 03:30:12 PM,648.5000           ,-0.0167            ,0.0000             ,-1.6667            
6, 06/15/2018 03:30:13 PM,648.5000           ,-0.0167            ,0.0000             ,-2.9167            
7, 06/15/2018 03:30:14 PM,648.5000           ,-0.0500            ,0.0000             ,-2.5000            
8, 06/15/2018 03:30:15 PM,648.5000           ,-0.0667            ,0.0000             ,-2.0833            
9, 06/15/2018 03:30:16 PM,648.5000           ,-0.0833            ,0.0000             ,-0.8333            
10, 06/15/2018 03:30:17 PM,648.5000           ,-0.0500            ,0.0000             ,-2.0833            
11, 06/15/2018 03:30:18 PM,648.5000           ,-0.0667            ,0.0000             ,-1.2500            
12, 06/15/2018 03:30:19 PM,648.5000           ,-0.0833            ,0.0000             ,-1.2500            
13, 06/15/2018 03:30:20 PM,648.5000           ,-0.0500            ,0.0000             ,-2.0833            
14, 06/15/2018 03:30:21 PM,648.5000           ,-0.0333            ,0.0000             ,-2.0833            
15, 06/15/2018 03:30:22 PM,648.5000           ,-0.0167            ,0.0000             ,-1.6667            
16, 06/15/2018 03:30:23 PM,648.5000           ,-0.0500            ,0.0000             ,-1.6667            
17, 06/15/2018 03:30:24 PM,648.4667           ,-0.1167            ,0.0000             ,-1.2500            
18, 06/15/2018 03:30:25 PM,648.4667           ,-0.0167            ,0.0000             ,-0.4167            
19, 06/15/2018 03:30:26 PM,648.4667           ,-0.0333            ,0.0000             ,-2.5000            
20, 06/15/2018 03:30:27 PM,648.4667           ,-0.0667            ,0.0000             ,-1.6667            
21, 06/15/2018 03:30:28 PM,648.4667           ,-0.1000            ,0.0000             ,-1.6667            
22, 06/15/2018 03:30:29 PM,648.4667           ,-0.0333            ,0.0000             ,-1.6667            
23, 06/15/2018 03:30:30 PM,648.4667           ,-0.0167            ,0.0000             ,-1.6667            
24, 06/15/2018 03:30:31 PM,0.0000             ,-0.0333            ,0.0000             ,-0.4167            
25, 06/15/2018 03:30:32 PM,0.0667             ,-0.0500            ,0.0000             ,-2.0833            
26, 06/15/2018 03:30:33 PM,0.0333             ,-0.0667            ,0.0000             ,-1.6667            
27, 06/15/2018 03:30:34 PM,0.0000             ,-0.0833            ,0.0000             ,-1.2500            
28, 06/15/2018 03:30:35 PM,0.0000             ,0.0167             ,0.0000             ,-2.0833            
29, 06/15/2018 03:30:36 PM,0.2667             ,-0.0333            ,0.0000             ,-1.2500            
30, 06/15/2018 03:30:37 PM,776.7000           ,-0.0167            ,0.0000             ,-2.5000            
31, 06/15/2018 03:30:38 PM,776.6333           ,-0.0833            ,0.0000             ,-2.9167            
32, 06/15/2018 03:30:39 PM,776.6000           ,-0.0667            ,0.0000             ,-2.5000            
33, 06/15/2018 03:30:40 PM,776.5667           ,0.0167             ,0.0000             ,-2.0833            
34, 06/15/2018 03:30:41 PM,776.5333           ,-0.0500            ,0.0000             ,-2.0833            
35, 06/15/2018 03:30:42 PM,776.4667           ,-0.0667            ,0.0000             ,-2.5000            
36, 06/15/2018 03:30:43 PM,776.4333           ,-0.0667            ,0.0000             ,-1.6667            
37, 06/15/2018 03:30:44 PM,776.4000           ,-0.0500            ,0.0000             ,-0.4167            
38, 06/15/2018 03:30:45 PM,776.3667           ,-0.0500            ,0.0000             ,-1.6667            
39, 06/15/2018 03:30:46 PM,776.3333           ,0.0167             ,0.0000             ,-0.8333            
40, 06/15/2018 03:30:47 PM,776.3000           ,-0.0833            ,0.0000             ,-1.2500            
41, 06/15/2018 03:30:48 PM,776.2667           ,0.0000             ,0.0000             ,0.0000             
42, 06/15/2018 03:30:49 PM,776.2333           ,0.0000             ,0.0000             ,-0.8333            
