AstroVIEW X
Type, Original
 
Time, 06/20/2018 02:10:04 PM
Compression, 1
*Sample Rate 1, 1
Size, 24
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I2r_rms_20ms       , I2r_lp_3000Hz      
1, 06/20/2018 02:10:03 PM,763.7000           ,754.0667           ,1199.1667          ,488.7500           
2, 06/20/2018 02:10:04 PM,764.0000           ,756.7000           ,1210.0000          ,538.7500           
3, 06/20/2018 02:10:05 PM,763.8667           ,758.6000           ,1221.6667          ,604.5833           
4, 06/20/2018 02:10:06 PM,763.6000           ,760.2167           ,1223.3333          ,649.1667           
5, 06/20/2018 02:10:07 PM,763.6000           ,761.4167           ,1227.5000          ,705.8333           
6, 06/20/2018 02:10:08 PM,763.5000           ,762.4500           ,1231.6667          ,722.9167           
7, 06/20/2018 02:10:09 PM,764.4333           ,763.2167           ,1172.5000          ,783.7500           
8, 06/20/2018 02:10:10 PM,764.2667           ,763.5167           ,1175.0000          ,711.6667           
9, 06/20/2018 02:10:11 PM,764.0000           ,763.2667           ,1163.3333          ,815.4167           
10, 06/20/2018 02:10:12 PM,764.7333           ,763.6833           ,1167.5000          ,699.5833           
11, 06/20/2018 02:10:13 PM,764.3333           ,762.2667           ,1188.3333          ,735.0000           
12, 06/20/2018 02:10:14 PM,764.1333           ,761.0667           ,1197.5000          ,692.0833           
13, 06/20/2018 02:10:15 PM,764.0667           ,759.6500           ,1188.3333          ,620.8333           
14, 06/20/2018 02:10:16 PM,763.3333           ,757.5000           ,1195.8333          ,595.8333           
15, 06/20/2018 02:10:17 PM,763.5667           ,752.9000           ,1195.8333          ,458.7500           
16, 06/20/2018 02:10:18 PM,763.1333           ,746.3167           ,1195.0000          ,425.4167           
17, 06/20/2018 02:10:19 PM,757.1000           ,738.7500           ,1494.1667          ,529.1667           
18, 06/20/2018 02:10:20 PM,755.8667           ,732.5000           ,1554.1667          ,586.6667           
19, 06/20/2018 02:10:21 PM,755.2000           ,722.8000           ,1570.0000          ,518.7500           
20, 06/20/2018 02:10:22 PM,755.4333           ,758.2667           ,1579.1667          ,1202.9167          
21, 06/20/2018 02:10:23 PM,755.5667           ,771.4833           ,1574.1667          ,1535.8333          
22, 06/20/2018 02:10:24 PM,755.3333           ,771.7167           ,1593.3333          ,1569.5833          
23, 06/20/2018 02:10:25 PM,755.3333           ,768.7500           ,1594.1667          ,1600.8333          
24, 06/20/2018 02:10:26 PM,754.5000           ,766.4833           ,1634.1667          ,1766.6667          
