AstroVIEW X
Type, Original
 
Time, 06/20/2018 02:11:11 PM
Compression, 1
*Sample Rate 1, 1
Size, 10
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I2r_rms_20ms       , I2r_lp_3000Hz      
1, 06/20/2018 02:11:10 PM,755.2000           ,760.9500           ,1609.1667          ,1666.2500          
2, 06/20/2018 02:11:11 PM,754.5667           ,758.3333           ,1640.0000          ,1782.0833          
3, 06/20/2018 02:11:12 PM,755.2667           ,748.1667           ,1599.1667          ,1835.0000          
4, 06/20/2018 02:11:13 PM,754.1333           ,730.9000           ,1639.1667          ,1963.7500          
5, 06/20/2018 02:11:14 PM,752.0000           ,733.1500           ,1773.3333          ,2085.8333          
6, 06/20/2018 02:11:15 PM,746.4333           ,767.0333           ,2070.0000          ,1948.7500          
7, 06/20/2018 02:11:16 PM,746.2667           ,763.2833           ,2096.6667          ,2012.5000          
8, 06/20/2018 02:11:17 PM,747.1333           ,762.0500           ,2071.6667          ,2058.7500          
9, 06/20/2018 02:11:18 PM,747.9000           ,741.8000           ,2038.3333          ,2108.3333          
10, 06/20/2018 02:11:19 PM,746.7000           ,711.8167           ,2056.6667          ,2108.7500          
