AstroVIEW X
Type, Original
 
Time, 06/15/2018 01:43:39 PM
Compression, 1
*Sample Rate 1, 1
Size, 6280
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I1_rms_20ms        , I1_lp_3000Hz       
64, 06/15/2018 01:44:41 PM,0.0000             ,-0.0667            ,0.0000             ,-1.2500            
65, 06/15/2018 01:44:42 PM,0.0000             ,-0.0167            ,0.0000             ,-0.4167            
66, 06/15/2018 01:44:43 PM,0.0000             ,-0.0167            ,0.0000             ,-0.4167            
67, 06/15/2018 01:44:44 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
68, 06/15/2018 01:44:45 PM,0.0000             ,-0.0333            ,0.0000             ,-0.4167            
69, 06/15/2018 01:44:46 PM,0.0000             ,0.0667             ,0.0000             ,-1.6667            
70, 06/15/2018 01:44:47 PM,0.0000             ,-0.0500            ,0.0000             ,-2.0833            
71, 06/15/2018 01:44:48 PM,0.0000             ,-0.0333            ,0.0000             ,-2.5000            
72, 06/15/2018 01:44:49 PM,0.0000             ,-0.0667            ,0.0000             ,-0.4167            
73, 06/15/2018 01:44:50 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
74, 06/15/2018 01:44:51 PM,0.0000             ,0.0000             ,0.0000             ,-1.2500            
75, 06/15/2018 01:44:52 PM,0.0000             ,0.0167             ,0.0000             ,-1.2500            
76, 06/15/2018 01:44:53 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
77, 06/15/2018 01:44:54 PM,0.0000             ,-0.0500            ,0.0000             ,-2.5000            
78, 06/15/2018 01:44:55 PM,0.0000             ,-0.0167            ,0.0000             ,-0.8333            
79, 06/15/2018 01:44:56 PM,0.0000             ,-0.0500            ,0.0000             ,-1.6667            
80, 06/15/2018 01:44:57 PM,0.0000             ,-0.0833            ,0.0000             ,-2.5000            
81, 06/15/2018 01:44:58 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
82, 06/15/2018 01:44:59 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
83, 06/15/2018 01:45:00 PM,0.0000             ,0.0333             ,0.0000             ,-2.0833            
84, 06/15/2018 01:45:01 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
85, 06/15/2018 01:45:02 PM,0.0000             ,-0.0667            ,0.0000             ,-0.4167            
86, 06/15/2018 01:45:03 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
87, 06/15/2018 01:45:04 PM,0.0000             ,-0.0500            ,0.0000             ,-0.8333            
